 
                                                                                                                                                                                                                                                                
 
The FREQ Procedure

                                    Cumulative    Cumulative
cluster    Frequency     Percent     Frequency      Percent
------------------------------------------------------------
      1         129        4.79           129         4.79  
      2         184        6.83           313        11.62  
      3          96        3.56           409        15.18  
      4         116        4.31           525        19.49  
      5         269        9.99           794        29.47  
      6          95        3.53           889        33.00  
      7         846       31.40          1735        64.40  
      8         209        7.76          1944        72.16  
      9         119        4.42          2063        76.58  
     10         118        4.38          2181        80.96  
     11         134        4.97          2315        85.93  
     12         379       14.07          2694       100.00  
