Username,Message,Character Count,Retweet Count,Like Count,Total Actions,Type
CompanyJ_1,The New Year s Party we want to see ,36,1169,4512,5681,video
CompanyJ_2,This kid couldn t believe how close he was to Steph via NBA ,60,1675,14857,16532,video
CompanyJ_3,Rockets ball movement ,22,656,3554,4210,video
CompanyJ_4,Jerami Grant Oh man ,20,1068,6986,8054,video
CompanyJ_5,James Harden joins Kobe Bryant and MJ as the 3rd player in last 30 years to score at least 400 points in 10 game span per Elias Sports Bureau ,142,4555,15092,19647,photo
CompanyJ_6, 9M 139 seconds 3 knockdowns That s crazy Floyd via misterkaikai ,65,1446,6440,7886,video
CompanyJ_7,Harden is in MVP form ,22,1044,5795,6839,photo
CompanyJ_8,Josh Okogie s bounce ,21,322,2272,2594,video
CompanyJ_9,Oregon FB celebrating with some Pretty Ricky NSFW via BradyBreeze ,66,638,3183,3821,video
CompanyJ_10,You good Klay ,14,721,6899,7620,video
CompanyJ_11,Might as well preview Cavs vs Warriors in the Finals for the next 30 years BestOf2018 ,86,916,3573,4489,video
CompanyJ_12,Russ signs off and wishes everyone a Happy New Year and gives away his shoes to a lucky fan ,92,1117,8306,9423,video
CompanyJ_13,Happy New Year East Coast ,26,577,6208,6785,video
CompanyJ_14,Happy New Year West Coast ,26,1138,6940,8078,video
CompanyJ_15,Jimmy Butler made his NBA debut on this day in 2012 His road to get there was incredible No 73 SG in Texas No D I offers Went to JuCo Faxed acceptance to Marquette from McDonald s Had no idea he was an NBA prospect ,215,9112,52260,61372,photo
CompanyJ_16,40 8 PPG over his last 10 games ,32,3097,19046,22143,photo
CompanyJ_17,Conor Jr s got hands via TheNotoriousMMA ,41,2030,13935,15965,video
CompanyJ_18,Dana White says rematch between McGregor and Khabib should happen in 2019 per TMZ_Sports ,89,1137,5023,6160,photo
CompanyJ_19,Shaq s light up jersey via SHAQ ,32,2778,12632,15410,video
CompanyJ_20,KD showed this fan so much love via jpruneau10 ,47,4143,32386,36529,video
CompanyJ_21,This is how Diego Costa wakes up his own brother via diegocosta ,64,1109,5054,6163,video
CompanyJ_22,Kentucky s Benny Snell Jr just gave the Wildcats a 17 7 lead How the star RB went from a 3 star recruit to helping put Kentucky football on the map ,148,185,1268,1453,photo
CompanyJ_23,UCF finally loses ,18,619,4954,5573,photo
CompanyJ_24,DeMarcus Cousins will consider spending another season with the Warriors per TheSteinLine ,90,1353,7712,9065,photo
CompanyJ_25,The mascot meeting did not go as planned via aasdanny ,54,6800,22945,29745,video
CompanyJ_26,The Bears remixed the Super Bowl Shuffle for 2019 GridironHeights playstation ,78,1175,4731,5906,video
CompanyJ_27,Dwayne Haskins becomes just the 6th QB in FBS history to throw 50 TDs in a season ,82,724,4419,5143,photo
CompanyJ_28,GIANNIS ,8,16765,60774,77539,video
CompanyJ_29,Dwayne Haskins and the Buckeyes win the Rose Bowl 28 23 ,56,742,4056,4798,photo
CompanyJ_30,Jamal Murray Wow ,17,943,5526,6469,video
CompanyJ_31,Tyler Trent a former Purdue student and Boilermakers superfan has died at 20 years old Tyler was an inspiration to all ,119,2627,17406,20033,video
CompanyJ_32,That was ridiculous Kawhi ,26,806,5329,6135,video
